3369	2	1	1	2	1	1	3	2	2	2	2	1	2	2	1	1	4	4	2
3385	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	3	3	2
3393	2	1	2	3	2	1	2	1	3	1	1	2	1	1	1	1	3	4	2
3404	2	2	3	2	3	2	3	3	3	3	3	3	2	2	3	3	3	3	1
3430	2	2	2	4	1	2	3	2	1	2	1	1	1	1	1	1	4	2	2
3443	2	1	1	2	1	2	1	1	1	1	3	1	1	1	1	1	4	4	2
3448	1	2	2	4	1	4	2	2	2	2	2	2	1	1	2	3	4	4	1
3463	2	1	3	4	3	4	4	4	2	2	2	4	3	2	1	1	3	3	1
3471	2	2	1	1	3	2	1	2	1	1	1	2	1	2	1	1	4	4	2
3489	3	2	2	2	2	3	3	2	3	2	3	3	2	1	1	1	3	2	2
3497	1	2	1	2	2	3	3	2	2	2	2	4	3	1	3	2	2	2	1
3512	3	3	3	3	1	1	3	2	2	3	2	2	2	1	1	1	3	2	2
3526	1	2	3	2	3	2	2	2	3	3	4	2	1	4	2	2	3	3	2
3563	1	1	4	2	1	3	3	1	3	2	4	2	2	2	1	1	3	2	2
3564	2	1	3	3	2	3	2	3	1	2	3	1	1	1	2	2	3	3	1
3579	4	2	3	2	4	4	4	1	1	1	4	2	4	2	1	1	4	3	1
3583	1	1	2	3	2	1	2	1	2	1	3	2	2	1	1	1	4	4	3
3599	3	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	3	3	2
3605	2	2	3	3	2	2	4	3	99	4	2	1	1	3	3	3	2	2	1
3626	2	1	2	3	2	2	3	3	4	2	3	2	3	2	2	1	3	99	2
3652	2	2	2	2	1	1	4	2	4	4	2	2	2	1	1	1	3	3	2
3805	2	3	2	3	1	4	3	3	3	2	3	3	3	2	2	2	2	2	2
3824	1	1	4	3	1	3	3	3	4	2	4	4	4	2	1	1	2	3	1
3863	2	2	3	4	3	3	1	3	1	2	1	1	1	1	3	3	3	2	1
3884	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	1	3	2	1
3909	2	1	3	3	2	2	2	2	2	2	3	3	3	2	1	1	3	3	1
