2029	13058	1	1	2	1	1	1	1.4	1.33333333333333	1
2032	8311	1	2	2	2	2	2	13.3	1.66666666666667	2
2036	15363	2	1	2	4	2	4	1.2	1.66666666666667	3.33333333333333
2042	3253	1	1	1	4	4	4	6.9	1	4
2047	8437	3	3	2	4	1	2	8.1	2.66666666666667	2.33333333333333
2053	14374	1	1	1	3	4	3	2.7	1	3.33333333333333
2057	5378	3	2	4	3	1	1	8.2	3	1.66666666666667
2079	8415	3	3	4	2	2	2	13.2	3.33333333333333	2
2084	3357	1	1	1	2	2	2	4.8	1	2
2089	8119	2	4	4	2	1	1	13.9	3.33333333333333	1.33333333333333
2093	17200	2	2	3	2	2	2	12.8	2.33333333333333	2
2098	14374	4	1	4	99	1	1	2.7	3	1
2099	14178	1	1	1	3	99	99	1.4	1	3
2103	5315	2	3	3	1	1	1	19.7	2.66666666666667	1
2107	13060	1	1	1	4	2	3	1.4	1	3
2115	12073	1	1	1	3	4	3	2.3	1	3.33333333333333
2125	5382	2	3	3	3	1	1	9	2.66666666666667	1.66666666666667
2130	15256	1	2	1	3	3	2	1.2	1.33333333333333	2.66666666666667
2131	17200	2	2	3	2	2	2	12.8	2.33333333333333	2
2132	17200	4	1	3	4	2	3	12.8	2.66666666666667	3
2145	5766	1	2	2	2	2	2	7	1.66666666666667	2
2146	14262	1	1	2	3	2	3	3.6	1.33333333333333	2.66666666666667
2147	12053	3	2	4	3	1	2	3.6	3	2
2151	8136	1	2	2	2	1	2	8.9	1.66666666666667	1.66666666666667
2163	13061	2	2	3	1	1	1	1.6	2.33333333333333	1
2165	5170	2	3	3	2	1	2	8.9	2.66666666666667	1.66666666666667
2179	14181	1	2	2	4	2	2	1.1	1.66666666666667	2.66666666666667
2181	12060	2	3	2	3	3	2	2.2	2.33333333333333	2.66666666666667
